record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
21,NorsemanII_Oct2038,10/18/2018,17:22:13,10/17/2018,10:22:13, 48 21.12 N, 124 16.06 W,48.352,-124.2677,128,3,,50,49.578,8.785,,2,,32.9835,,2,,25.5736,,3.4326,,3.4326,2,,,,,,,9,"niskin didn't close properly, the bottom cap was open",,,,,,,,,,,9,0.1106,,,,,,,,,,9,,9,
22,NorsemanII_Oct2039,10/18/2018,17:22:13,10/17/2018,10:22:13, 48 21.12 N, 124 16.06 W,48.352,-124.2677,128,4,,20,19.833,9.2941,,2,,32.5374,,2,,25.1444,,4.2801,,4.2801,2,,4.265764119,,,4.265764119,130,2,,,,,,,27.617,0.262,0.281,2.294,44.781,2,0.6436,,,,,,,,,2197.7,2,2166,2,
23,NorsemanII_Oct2040,10/18/2018,17:22:13,10/17/2018,10:22:13, 48 21.12 N, 124 16.06 W,48.352,-124.2677,128,5,,10,9.917,9.3861,,2,,32.4351,,2,,25.0496,,4.697,,4.697,2,,4.63490509,,,4.63490509,141.3,2,,,,,,,27.733,0.259,0.260,2.287,45.717,2,0.6793,,,,,,,,,2190.8,2,2156.5,2,
24,NorsemanII_Oct2041,10/18/2018,17:22:13,10/17/2018,10:22:13, 48 21.12 N, 124 16.06 W,48.352,-124.2677,128,6,,1,0.992,9.381,,2,,32.4158,,2,,25.0352,,5.2139,,5.2139,2,,4.768725219,,,4.768725219,145.4,2,,,,,,,27.747,0.257,0.375,2.290,44.536,2,0.4692,,,,,,,,,2188.4,2,2159,2,
25,NorsemanII_Oct2042,10/18/2018,18:19:48,10/18/2018,11:19:48, 48 17.91 N, 124 06.03 W,48.2985,-124.1005,131,1,,182.326,180.73,7.6776,,2,,33.8828,,2,,26.446,,2.2001,,2.2001,2,,2.131738081,,,2.131738081,64.9,2,,,,,,,32.849,0.068,0.050,2.481,49.650,2,-0.0395,,,,,,,,,2258.4,2,2254.3,2,
26,NorsemanII_Oct2043,10/18/2018,18:24:19,10/18/2018,11:24:19, 48 17.91 N, 124 06.03 W,48.2985,-124.1005,131,2,,80.508,79.823,8.3987,,2,,33.5618,,2,,26.0862,,2.6784,,2.6784,2,,2.545261059,,,2.545261059,77.5,2,,,,,,,30.110,0.277,0.036,2.371,46.951,2,0.0056,,,,,,,,,2239.2,2,2232.3,2,
27,NorsemanII_Oct2044,10/18/2018,18:25:38,10/18/2018,11:25:38, 48 17.91 N, 124 06.03 W,48.2985,-124.1005,131,3,,50.345,49.921,8.6255,,2,,33.1618,,2,,25.7377,,3.0391,,3.0391,2,,3.013103888,,,3.013103888,91.8,2,,,,,,,29.942,0.278,0.049,2.371,45.449,2,0.015,,,,,,,,,2221.7,2,2207.8,2,
28,NorsemanII_Oct2045,10/18/2018,18:26:55,10/18/2018,11:26:55, 48 17.91 N, 124 06.03 W,48.2985,-124.1005,131,4,,20.285,20.116,9.0718,,2,,32.7557,,2,,25.3501,,3.79,,3.79,2,,4.074827669,,,4.074827669,124.2,2,,,,,,,28.360,0.258,0.197,2.320,45.439,2,0.4102,,,,,,,,,2201.7,2,2177.9,2,
29,NorsemanII_Oct2046,10/18/2018,18:27:20,10/18/2018,11:27:20, 48 17.91 N, 124 06.03 W,48.2985,-124.1005,131,5,,10.515,10.427,9.2784,,2,,32.5676,,2,,25.1703,,4.1538,,4.1538,2,,4.169046728,,,4.169046728,127.1,2,,,,,,,27.645,0.250,0.289,2.292,45.432,2,0.6678,,,,,,,,,2190.4,2,2164.5,2,
30,NorsemanII_Oct2047,10/18/2018,18:27:43,10/18/2018,11:27:43, 48 17.91 N, 124 06.03 W,48.2985,-124.1005,131,6,,1.386,1.374,9.7387,,2,,32.0706,,2,,24.7081,,4.6585,,4.6585,2,,5.163533872,,,5.163533872,157.5,2,,,,,,,25.599,0.292,0.439,2.228,44.731,2,0.289,,,,,,,,,2160.5,2,2123,2,
31,NorsemanII_Oct2048,10/18/2018,21:59:56,10/18/2018,14:59:56, 48 13.40 N, 123 28.98 W,48.2233,-123.483,136,1,,140.453,139.238,7.978,,2,,33.8214,,2,,26.3535,,2.3117,,2.3117,2,,2.264802796,,,2.264802796,69,2,,,,,,,31.123,0.083,0.039,2.382,47.114,2,-0.0049,,,,,,,,,2255.3,2,2246.9,2,
32,NorsemanII_Oct2049,10/18/2018,22:02:36,10/18/2018,15:02:36, 48 13.40 N, 123 28.98 W,48.2233,-123.483,136,2,,80.598,79.912,8.1791,,2,,33.6734,,2,,26.2066,,2.6923,,2.6923,2,,2.899366035,,,2.899366035,88.3,2,,,,,,,30.331,0.135,0.021,2.328,43.820,2,0.0071,,,,,,,,,2244.6,2,2231.1,2,
33,NorsemanII_Oct2050,10/18/2018,22:03:55,10/18/2018,15:03:55, 48 13.40 N, 123 28.98 W,48.2233,-123.483,136,3,,50.557,50.131,9.0138,,2,,32.5966,,2,,25.2353,,3.6256,,3.6256,2,,4.053570607,,,4.053570607,123.6,2,,,,,,,28.036,0.238,0.337,2.316,45.570,2,0.2771,,,,,,,,,2185.4,2,2163.9,2,
34,NorsemanII_Oct2051,10/18/2018,22:05:11,10/18/2018,15:05:11, 48 13.40 N, 123 28.98 W,48.2233,-123.483,136,4,,20.481,20.31,9.7131,,2,,31.9263,,2,,24.5999,,4.4549,,4.4549,2,,5.018669959,,,5.018669959,153.1,2,,,,,,,25.469,0.308,0.626,2.247,44.509,2,0.6205,,,,,,,,,2155.3,2,2119.1,2,
